date,tournament,team,opponent,location,result,score,opp_score,points,xg,city,country,neutral,age,min,crdY,crdR
1998-06-10,FIFA World Cup,Morocco,Norway,0,D,2,2,1,NA,Montpellier,France,TRUE,25.714285714285715,70.71428571428571,1,0
1998-06-10,FIFA World Cup,Norway,Morocco,0,D,2,2,1,NA,Montpellier,France,TRUE,27.76923076923077,76.15384615384616,0,0
1998-06-15,FIFA World Cup,England,Tunisia,0,W,2,0,3,NA,Marseille,France,TRUE,27.416666666666668,82.5,1,0
1998-06-15,FIFA World Cup,Tunisia,England,0,L,0,2,0,NA,Marseille,France,TRUE,25.785714285714285,70.71428571428572,3,0
2005-06-25,Confederations Cup,Germany,Brazil,1,L,2,3,0,NA,Nuremberg,Germany,FALSE,25.285714285714285,70.71428571428571,2,0
2005-06-25,Confederations Cup,Brazil,Germany,-1,W,3,2,3,NA,Nuremberg,Germany,FALSE,25.928571428571427,70.71428571428572,4,0
2017-01-14,Friendly,Cambodia,Saudi Arabia,0,L,2,7,0,NA,Abu Dhabi,United Arab Emirates,TRUE,20.647058823529413,58.23529411764705,0,0
2017-01-14,Friendly,Saudi Arabia,Cambodia,0,W,7,2,3,NA,Abu Dhabi,United Arab Emirates,TRUE,27.823529411764707,58.23529411764706,0,0
2017-01-17,Friendly,Qatar,Moldova,1,D,1,1,1,NA,Doha,Qatar,FALSE,26.3,49.5,1,0
2017-01-17,Friendly,Moldova,Qatar,-1,D,1,1,1,NA,Doha,Qatar,FALSE,27.61111111111111,55,1,0
2017-01-22,Friendly,Bermuda,Canada,1,L,2,4,0,NA,Hamilton,Bermuda,FALSE,21.941176470588236,58.23529411764706,0,0
2017-01-22,Friendly,Canada,Bermuda,-1,W,4,2,3,NA,Hamilton,Bermuda,FALSE,25.352941176470587,58.23529411764706,0,0
2017-01-23,Friendly,Uzbekistan,Georgia,0,D,2,2,1,NA,Dubai,United Arab Emirates,TRUE,24.785714285714285,70.64285714285714,1,1
2017-01-23,Friendly,Georgia,Uzbekistan,0,D,2,2,1,NA,Dubai,United Arab Emirates,TRUE,23.941176470588236,58.23529411764705,2,0
2017-01-25,Friendly,Jordan,Georgia,0,W,1,0,3,NA,Dubai,United Arab Emirates,TRUE,26.066666666666666,61.46666666666667,2,0
2017-01-25,Friendly,Georgia,Jordan,0,L,0,1,0,NA,Dubai,United Arab Emirates,TRUE,24.470588235294116,58.23529411764706,3,0
2017-01-29,Friendly,United States,Serbia,1,D,0,0,1,NA,San Diego,United States,FALSE,28.529411764705884,58.23529411764706,1,0
2017-01-29,Friendly,Serbia,United States,-1,D,0,0,1,NA,San Diego,United States,FALSE,23.529411764705884,58.23529411764706,1,0
2017-02-08,Friendly,Mexico,Iceland,0,W,1,0,3,NA,Las Vegas,United States,TRUE,26.058823529411764,58.23529411764706,0,0
2017-02-08,Friendly,Iceland,Mexico,0,L,0,1,0,NA,Las Vegas,United States,TRUE,23.58823529411765,58.23529411764705,1,0
2017-03-09,Friendly,Qatar,Azerbaijan,1,L,1,2,0,NA,Doha,Qatar,FALSE,26.235294117647058,58.23529411764706,1,0
2017-03-09,Friendly,Azerbaijan,Qatar,-1,W,2,1,3,NA,Doha,Qatar,FALSE,25.294117647058822,58.23529411764706,1,0
2017-03-11,Friendly,Burundi,Djibouti,1,W,7,0,3,NA,Bujumbura,Burundi,FALSE,21.153846153846153,76.15384615384616,1,0
2017-03-11,Friendly,Djibouti,Burundi,-1,L,0,7,0,NA,Bujumbura,Burundi,FALSE,25,66,2,0
2017-03-19,Friendly,San Marino,Moldova,1,L,0,2,0,NA,Serravalle,San Marino,FALSE,26.705882352941178,58.23529411764706,2,0
2017-03-19,Friendly,Moldova,San Marino,-1,W,2,0,3,NA,Serravalle,San Marino,FALSE,28,58.23529411764705,0,0
2005-06-26,Confederations Cup,Mexico,Argentina,0,D,1,1,1,NA,Hanover,Germany,TRUE,26.428571428571427,92.07142857142857,5,1
2005-06-26,Confederations Cup,Argentina,Mexico,0,D,1,1,1,NA,Hanover,Germany,TRUE,25.142857142857142,92.07142857142858,2,1
2017-03-21,Friendly,Indonesia,Myanmar,1,L,1,3,0,NA,Cibinong,Indonesia,FALSE,19.823529411764707,58.23529411764706,1,0
2017-03-21,Friendly,Myanmar,Indonesia,-1,W,3,1,3,NA,Cibinong,Indonesia,FALSE,23.928571428571427,70.71428571428571,0,0
2017-03-22,Friendly,Cambodia,India,1,L,2,3,0,NA,Phnom Penh,Cambodia,FALSE,22.5,61.875,0,0
2017-03-22,Friendly,India,Cambodia,-1,W,3,2,3,NA,Phnom Penh,Cambodia,FALSE,25.58823529411765,58.23529411764706,0,0
2017-03-22,Friendly,Cyprus,Kazakhstan,1,W,3,1,3,NA,Larnaca,Cyprus,FALSE,25.58823529411765,58.23529411764706,1,0
2017-03-22,Friendly,Kazakhstan,Cyprus,-1,L,1,3,0,NA,Larnaca,Cyprus,FALSE,25,61.875,2,0
2017-03-22,Friendly,Germany,England,1,W,1,0,3,NA,Dortmund,Germany,FALSE,24.533333333333335,66,0,0
2017-03-22,Friendly,England,Germany,-1,L,0,1,0,NA,Dortmund,Germany,FALSE,24.88235294117647,58.23529411764705,0,0
2017-03-22,Friendly,Philippines,Malaysia,1,D,0,0,1,NA,Manila,Philippines,FALSE,26,58.23529411764706,2,0
2017-03-22,Friendly,Malaysia,Philippines,-1,D,0,0,1,NA,Manila,Philippines,FALSE,27.176470588235293,58.23529411764705,1,0
2017-03-22,Friendly,Scotland,Canada,1,D,1,1,1,NA,Edinburgh,Scotland,FALSE,27.875,61.875,0,0
2017-03-22,Friendly,Canada,Scotland,-1,D,1,1,1,NA,Edinburgh,Scotland,FALSE,25.2,66,0,0
2017-03-22,Friendly,Yemen,Palestine,0,L,0,1,0,NA,Al Wakrah,Qatar,TRUE,25.125,61.875,1,0
2017-03-22,Friendly,Palestine,Yemen,0,W,1,0,3,NA,Al Wakrah,Qatar,TRUE,26.125,61.875,0,0
2017-03-23,Friendly,Afghanistan,Singapore,0,W,2,1,3,NA,Al Wakrah,Qatar,TRUE,24.294117647058822,58.23529411764706,0,0
2017-03-23,Friendly,Singapore,Afghanistan,0,L,1,2,0,NA,Al Wakrah,Qatar,TRUE,27.352941176470587,58.23529411764706,0,0
2017-03-23,Friendly,Bahrain,Tajikistan,1,D,1,1,1,NA,Riffa,Bahrain,FALSE,25.875,61.875,0,0
2017-03-23,Friendly,Tajikistan,Bahrain,-1,D,1,1,1,NA,Riffa,Bahrain,FALSE,24.058823529411764,58.23529411764706,1,0
2017-03-23,Friendly,Jordan,Hong Kong,1,W,4,0,3,NA,Amman,Jordan,FALSE,27.058823529411764,58.23529411764706,0,0
2017-03-23,Friendly,Hong Kong,Jordan,-1,L,0,4,0,NA,Amman,Jordan,FALSE,28.529411764705884,58.23529411764706,1,0
2005-06-29,Confederations Cup,Brazil,Argentina,0,W,4,1,3,NA,Frankfurt am Main,Germany,TRUE,26.428571428571427,70.71428571428571,1,0
2005-06-29,Confederations Cup,Argentina,Brazil,0,L,1,4,0,NA,Frankfurt am Main,Germany,TRUE,25.5,70.71428571428571,4,0
2017-03-23,Friendly,Kenya,Uganda,1,D,1,1,1,NA,Machakos,Kenya,FALSE,25.25,61.875,1,0
2017-03-23,Friendly,Uganda,Kenya,-1,D,1,1,1,NA,Machakos,Kenya,FALSE,24,66,1,0
2017-03-23,Friendly,Nigeria,Senegal,0,D,1,1,1,NA,London,England,TRUE,23.666666666666668,66,3,0
2017-03-23,Friendly,Senegal,Nigeria,0,D,1,1,1,NA,London,England,TRUE,25.571428571428573,70.71428571428571,2,0
2017-03-24,FIFA World Cup qualification,Austria,Moldova,1,W,2,0,3,NA,Vienna,Austria,FALSE,26.714285714285715,70.71428571428571,2,0
2017-03-24,FIFA World Cup qualification,Moldova,Austria,-1,L,0,2,0,NA,Vienna,Austria,FALSE,29.142857142857142,70.71428571428571,3,0
2017-03-24,FIFA World Cup qualification,Croatia,Ukraine,1,W,1,0,3,NA,Zagreb,Croatia,FALSE,26.428571428571427,70.71428571428571,0,0
2017-03-24,FIFA World Cup qualification,Ukraine,Croatia,-1,L,0,1,0,NA,Zagreb,Croatia,FALSE,26.857142857142858,70.71428571428572,1,0
2017-03-24,FIFA World Cup qualification,Georgia,Serbia,1,L,1,3,0,NA,Tbilisi,Georgia,FALSE,25,70.71428571428571,2,0
2017-03-24,FIFA World Cup qualification,Serbia,Georgia,-1,W,3,1,3,NA,Tbilisi,Georgia,FALSE,27.5,70.71428571428571,0,0
2017-03-24,FIFA World Cup qualification,Italy,Albania,1,W,2,0,3,NA,Palermo,Italy,FALSE,28.454545454545453,90,0,0
2017-03-24,FIFA World Cup qualification,Albania,Italy,-1,L,0,2,0,NA,Palermo,Italy,FALSE,26.428571428571427,70.71428571428571,6,0
2017-03-24,FIFA World Cup qualification,Kosovo,Iceland,0,L,1,2,0,NA,Shkodër,Albania,TRUE,24.428571428571427,70.71428571428572,3,0
2017-03-24,FIFA World Cup qualification,Iceland,Kosovo,0,W,2,1,3,NA,Shkodër,Albania,TRUE,28.928571428571427,70.71428571428571,1,0
2017-03-24,Friendly,Libya,Togo,0,D,0,0,1,NA,Alexandria,Egypt,TRUE,26,58.23529411764706,1,0
2017-03-24,Friendly,Togo,Libya,0,D,0,0,1,NA,Alexandria,Egypt,TRUE,23.6875,61.875,0,0
2017-03-24,Friendly,Mauritania,Benin,1,W,1,0,3,NA,Nouakchott,Mauritania,FALSE,24.4375,61.875,1,0
2017-03-24,Friendly,Benin,Mauritania,-1,L,0,1,0,NA,Nouakchott,Mauritania,FALSE,25.53846153846154,76.15384615384616,3,0
2017-03-24,Friendly,Morocco,Burkina Faso,1,W,2,0,3,NA,Marrakech,Morocco,FALSE,26.125,61.875,1,0
2017-03-24,Friendly,Burkina Faso,Morocco,-1,L,0,2,0,NA,Marrakech,Morocco,FALSE,24.58823529411765,58.23529411764706,1,0
2005-06-29,Confederations Cup,Germany,Mexico,1,W,4,3,3,NA,Leipzig,Germany,FALSE,24.785714285714285,89.5,2,1
2005-06-29,Confederations Cup,Mexico,Germany,-1,L,3,4,0,NA,Leipzig,Germany,FALSE,26.071428571428573,94.28571428571429,3,0
2017-03-24,FIFA World Cup qualification,Spain,Israel,1,W,4,1,3,NA,Gijón,Spain,FALSE,27.714285714285715,70.71428571428572,0,0
2017-03-24,FIFA World Cup qualification,Israel,Spain,-1,L,1,4,0,NA,Gijón,Spain,FALSE,27.142857142857142,70.71428571428572,1,0
2017-03-24,Friendly,Tunisia,Cameroon,1,L,0,1,0,NA,Monastir,Tunisia,FALSE,26.266666666666666,66,0,0
2017-03-24,Friendly,Cameroon,Tunisia,-1,W,1,0,3,NA,Monastir,Tunisia,FALSE,24.764705882352942,58.23529411764706,1,0
2017-03-25,FIFA World Cup qualification,Andorra,Faroe Islands,1,D,0,0,1,NA,Sant Julià de Lòria,Andorra,FALSE,26.928571428571427,70.71428571428571,5,0
2017-03-25,FIFA World Cup qualification,Faroe Islands,Andorra,-1,D,0,0,1,NA,Sant Julià de Lòria,Andorra,FALSE,27.307692307692307,74.84615384615384,3,1
2017-03-25,FIFA World Cup qualification,Belgium,Greece,1,D,1,1,1,NA,Brussels,Belgium,FALSE,27.46153846153846,76.15384615384616,4,0
2017-03-25,FIFA World Cup qualification,Greece,Belgium,-1,D,1,1,1,NA,Brussels,Belgium,FALSE,26.785714285714285,68.78571428571429,6,2
2017-03-25,FIFA World Cup qualification,Bulgaria,Netherlands,1,W,2,0,3,NA,Sofia,Bulgaria,FALSE,26.357142857142858,70.71428571428572,0,0
2017-03-25,FIFA World Cup qualification,Netherlands,Bulgaria,-1,L,0,2,0,NA,Sofia,Bulgaria,FALSE,25.714285714285715,70.71428571428571,0,0
2017-03-25,FIFA World Cup qualification,Cyprus,Estonia,1,D,0,0,1,NA,Nicosia,Cyprus,FALSE,25.642857142857142,70.71428571428571,1,0
2017-03-25,FIFA World Cup qualification,Estonia,Cyprus,-1,D,0,0,1,NA,Nicosia,Cyprus,FALSE,27.785714285714285,70.71428571428571,1,0
2017-03-25,FIFA World Cup qualification,Luxembourg,France,1,L,1,3,0,NA,Luxembourg,Luxembourg,FALSE,25.785714285714285,70.71428571428571,3,0
2017-03-25,FIFA World Cup qualification,France,Luxembourg,-1,W,3,1,3,NA,Luxembourg,Luxembourg,FALSE,25.714285714285715,70.71428571428572,1,0
2017-03-25,Friendly,Mozambique,Angola,1,W,2,0,3,NA,Maputo,Mozambique,FALSE,24.733333333333334,66,2,0
2017-03-25,Friendly,Angola,Mozambique,-1,L,0,2,0,NA,Maputo,Mozambique,FALSE,25.5625,61.875,0,0
2017-03-25,FIFA World Cup qualification,Portugal,Hungary,1,W,3,0,3,NA,Lisbon,Portugal,FALSE,27.142857142857142,70.71428571428571,0,0
2017-03-25,FIFA World Cup qualification,Hungary,Portugal,-1,L,0,3,0,NA,Lisbon,Portugal,FALSE,26.714285714285715,70.71428571428572,3,0
2017-03-25,Friendly,South Africa,Guinea-Bissau,1,W,3,1,3,NA,Durban,South Africa,FALSE,26.705882352941178,58.23529411764705,1,0
2017-03-25,Friendly,Guinea-Bissau,South Africa,-1,L,1,3,0,NA,Durban,South Africa,FALSE,24.4375,61.875,1,0
2006-06-09,FIFA World Cup,Germany,Costa Rica,1,W,4,2,3,NA,Munich,Germany,FALSE,26.357142857142858,70.71428571428571,0,0
2006-06-09,FIFA World Cup,Costa Rica,Germany,-1,L,2,4,0,NA,Munich,Germany,FALSE,27.857142857142858,70.71428571428571,1,0
2017-03-25,FIFA World Cup qualification,Sweden,Belarus,1,W,4,0,3,NA,Solna,Sweden,FALSE,26.785714285714285,70.71428571428571,0,0
2017-03-25,FIFA World Cup qualification,Belarus,Sweden,-1,L,0,4,0,NA,Solna,Sweden,FALSE,28.428571428571427,70.71428571428572,1,0
2017-03-25,FIFA World Cup qualification,Switzerland,Latvia,1,W,1,0,3,NA,Geneva,Switzerland,FALSE,26.785714285714285,70.71428571428571,2,0
2017-03-25,FIFA World Cup qualification,Latvia,Switzerland,-1,L,0,1,0,NA,Geneva,Switzerland,FALSE,27.928571428571427,70.71428571428572,2,0
2017-03-25,Friendly,Tanzania,Botswana,1,W,2,0,3,NA,Dar es Salaam,Tanzania,FALSE,22.5,61.875,0,0
2017-03-25,Friendly,Botswana,Tanzania,-1,L,0,2,0,NA,Dar es Salaam,Tanzania,FALSE,23.375,61.875,1,0
2017-03-26,FIFA World Cup qualification,Armenia,Kazakhstan,1,W,2,0,3,NA,Yerevan,Armenia,FALSE,26.071428571428573,70.71428571428571,3,0
2017-03-26,FIFA World Cup qualification,Kazakhstan,Armenia,-1,L,0,2,0,NA,Yerevan,Armenia,FALSE,27,68.78571428571429,4,1
2017-03-26,FIFA World Cup qualification,Azerbaijan,Germany,1,L,1,4,0,NA,Baku,Azerbaijan,FALSE,27,70.71428571428571,0,0
2017-03-26,FIFA World Cup qualification,Germany,Azerbaijan,-1,W,4,1,3,NA,Baku,Azerbaijan,FALSE,26.357142857142858,70.71428571428571,2,0
2017-03-26,FIFA World Cup qualification,England,Lithuania,1,W,2,0,3,NA,London,England,FALSE,25.153846153846153,76.15384615384616,1,0
2017-03-26,FIFA World Cup qualification,Lithuania,England,-1,L,0,2,0,NA,London,England,FALSE,27.142857142857142,70.71428571428571,2,0
2017-03-26,FIFA World Cup qualification,Malta,Slovakia,1,L,1,3,0,NA,Attard,Malta,FALSE,26.428571428571427,69.78571428571429,3,1
2017-03-26,FIFA World Cup qualification,Slovakia,Malta,-1,W,3,1,3,NA,Attard,Malta,FALSE,27.928571428571427,70.71428571428571,4,1
2017-03-26,FIFA World Cup qualification,Montenegro,Poland,1,L,1,2,0,NA,Podgorica,Montenegro,FALSE,26.214285714285715,70.71428571428571,4,0
2017-03-26,FIFA World Cup qualification,Poland,Montenegro,-1,W,2,1,3,NA,Podgorica,Montenegro,FALSE,28.285714285714285,70.71428571428571,1,0
2017-03-26,FIFA World Cup qualification,Northern Ireland,Norway,1,W,2,0,3,NA,Belfast,Northern Ireland,FALSE,28.785714285714285,70.71428571428571,1,0
2017-03-26,FIFA World Cup qualification,Norway,Northern Ireland,-1,L,0,2,0,NA,Belfast,Northern Ireland,FALSE,25.571428571428573,70.71428571428572,1,0
2017-03-26,FIFA World Cup qualification,Romania,Denmark,1,D,0,0,1,NA,Cluj,Romania,FALSE,26.357142857142858,70.71428571428572,1,0
2017-03-26,FIFA World Cup qualification,Denmark,Romania,-1,D,0,0,1,NA,Cluj,Romania,FALSE,26,76.15384615384616,2,0
2006-06-09,FIFA World Cup,Poland,Ecuador,0,L,0,2,0,NA,Gelsenkirchen,Germany,TRUE,27.928571428571427,70.71428571428571,1,0
2006-06-09,FIFA World Cup,Ecuador,Poland,0,W,2,0,3,NA,Gelsenkirchen,Germany,TRUE,27.357142857142858,70.71428571428571,2,0
2017-03-26,FIFA World Cup qualification,San Marino,Czech Republic,1,L,0,6,0,NA,Serravalle,San Marino,FALSE,26.857142857142858,70.71428571428571,4,0
2017-03-26,FIFA World Cup qualification,Czech Republic,San Marino,-1,W,6,0,3,NA,Serravalle,San Marino,FALSE,26.214285714285715,70.71428571428572,0,0
2017-03-26,FIFA World Cup qualification,Scotland,Slovenia,1,W,1,0,3,NA,Glasgow,Scotland,FALSE,27.857142857142858,70.71428571428572,0,0
2017-03-26,FIFA World Cup qualification,Slovenia,Scotland,-1,L,0,1,0,NA,Glasgow,Scotland,FALSE,27.571428571428573,70.71428571428572,5,0
2017-03-26,Friendly,Zimbabwe,Zambia,1,D,0,0,1,NA,Harare,Zimbabwe,FALSE,25.5625,61.875,2,0
2017-03-26,Friendly,Zambia,Zimbabwe,-1,D,0,0,1,NA,Harare,Zimbabwe,FALSE,26.307692307692307,76.15384615384616,0,0
2017-03-27,Friendly,Mauritania,Congo,1,W,2,1,3,NA,Nouakchott,Mauritania,FALSE,24.875,61.875,1,0
2017-03-27,Friendly,Congo,Mauritania,-1,L,1,2,0,NA,Nouakchott,Mauritania,FALSE,25.666666666666668,66,1,0
2017-03-28,Friendly,Austria,Finland,1,D,1,1,1,NA,Innsbruck,Austria,FALSE,25.705882352941178,58.23529411764706,0,0
2017-03-28,Friendly,Finland,Austria,-1,D,1,1,1,NA,Innsbruck,Austria,FALSE,25.8125,61.875,1,0
2017-03-28,Friendly,Cameroon,Guinea,0,L,1,2,0,NA,Molenbeek,Belgium,TRUE,24.466666666666665,66,3,0
2017-03-28,Friendly,Guinea,Cameroon,0,W,2,1,3,NA,Molenbeek,Belgium,TRUE,23.6875,61.875,3,0
2017-03-28,Friendly,Egypt,Togo,1,W,3,0,3,NA,Alexandria,Egypt,FALSE,25.11764705882353,58.23529411764706,0,0
2017-03-28,Friendly,Togo,Egypt,-1,L,0,3,0,NA,Alexandria,Egypt,FALSE,24.125,61.875,1,0
2017-03-28,Friendly,Estonia,Croatia,1,W,3,0,3,NA,Tallinn,Estonia,FALSE,26.625,61.875,1,0
2017-03-28,Friendly,Croatia,Estonia,-1,L,0,3,0,NA,Tallinn,Estonia,FALSE,24.4,66,1,0
2017-03-28,Friendly,France,Spain,1,L,0,2,0,NA,Saint-Denis,France,FALSE,25.066666666666666,66,2,0
2017-03-28,Friendly,Spain,France,-1,W,2,0,3,NA,Saint-Denis,France,FALSE,27.235294117647058,58.23529411764706,0,0
2017-03-28,Friendly,Georgia,Latvia,1,W,5,0,3,NA,Tbilisi,Georgia,FALSE,24.941176470588236,58.23529411764705,3,0
2017-03-28,Friendly,Latvia,Georgia,-1,L,0,5,0,NA,Tbilisi,Georgia,FALSE,28.235294117647058,58.23529411764706,4,0
2006-06-10,FIFA World Cup,England,Paraguay,0,W,1,0,3,NA,Frankfurt am Main,Germany,TRUE,26.076923076923077,76.15384615384616,2,0
2006-06-10,FIFA World Cup,Paraguay,England,0,L,0,1,0,NA,Frankfurt am Main,Germany,TRUE,28.071428571428573,70.71428571428571,1,0
2017-03-28,Friendly,Luxembourg,Cape Verde,1,L,0,2,0,NA,Hesperange,Luxembourg,FALSE,24.235294117647058,58.23529411764706,1,0
2017-03-28,Friendly,Cape Verde,Luxembourg,-1,W,2,0,3,NA,Hesperange,Luxembourg,FALSE,27,58.23529411764705,1,0
2017-03-28,Friendly,Morocco,Tunisia,1,W,1,0,3,NA,Marrakech,Morocco,FALSE,25.928571428571427,70.71428571428571,0,0
2017-03-28,Friendly,Tunisia,Morocco,-1,L,0,1,0,NA,Marrakech,Morocco,FALSE,25.2,66,4,0
2017-03-28,Friendly,Netherlands,Italy,1,L,1,2,0,NA,Amsterdam,Netherlands,FALSE,25.5625,61.875,0,0
2017-03-28,Friendly,Italy,Netherlands,-1,W,2,1,3,NA,Amsterdam,Netherlands,FALSE,25.294117647058822,58.23529411764705,1,0
2017-03-28,Friendly,Portugal,Sweden,1,L,2,3,0,NA,Funchal,Portugal,FALSE,26.764705882352942,58.23529411764706,0,0
2017-03-28,Friendly,Sweden,Portugal,-1,W,3,2,3,NA,Funchal,Portugal,FALSE,26.3125,61.875,0,0
2017-03-28,Friendly,Russia,Belgium,1,D,3,3,1,NA,Sochi,Russia,FALSE,26.9375,61.875,0,0
2017-03-28,Friendly,Belgium,Russia,-1,D,3,3,1,NA,Sochi,Russia,FALSE,26.41176470588235,58.23529411764705,0,0
2017-03-28,Friendly,South Africa,Angola,1,D,0,0,1,NA,East London,South Africa,FALSE,25.375,61.875,2,0
2017-03-28,Friendly,Angola,South Africa,-1,D,0,0,1,NA,East London,South Africa,FALSE,25.285714285714285,70.71428571428572,2,0
2017-03-28,Friendly,Tanzania,Burundi,1,W,2,1,3,NA,Dar es Salaam,Tanzania,FALSE,22.066666666666666,66,2,0
2017-03-28,Friendly,Burundi,Tanzania,-1,L,1,2,0,NA,Dar es Salaam,Tanzania,FALSE,21.4,66,2,0
2017-05-04,Friendly,Burkina Faso,Benin,1,D,1,1,1,NA,Ouagadougou,Burkina Faso,FALSE,24.272727272727273,90,0,0
2017-05-04,Friendly,Benin,Burkina Faso,-1,D,1,1,1,NA,Ouagadougou,Burkina Faso,FALSE,22.272727272727273,89.36363636363636,2,1
2017-05-25,Friendly,Fiji,Solomon Islands,1,D,1,1,1,NA,Suva,Fiji,FALSE,24.75,61.875,2,0
2017-05-25,Friendly,Solomon Islands,Fiji,-1,D,1,1,1,NA,Suva,Fiji,FALSE,26.11764705882353,58.23529411764706,0,0
2017-05-28,Friendly,Fiji,Solomon Islands,1,W,1,0,3,NA,Lautoka,Fiji,FALSE,24.666666666666668,66,2,0
2017-05-28,Friendly,Solomon Islands,Fiji,-1,L,0,1,0,NA,Lautoka,Fiji,FALSE,26.5625,59.875,2,1
2006-06-11,FIFA World Cup,Angola,Portugal,0,L,0,1,0,NA,Cologne,Germany,TRUE,26.357142857142858,70.71428571428572,3,0
2006-06-11,FIFA World Cup,Portugal,Angola,0,W,1,0,3,NA,Cologne,Germany,TRUE,28,70.71428571428571,2,0
2017-05-31,Friendly,Morocco,Netherlands,1,L,1,2,0,NA,Agadir,Morocco,FALSE,27.11764705882353,58.23529411764706,0,0
2017-05-31,Friendly,Netherlands,Morocco,-1,W,2,1,3,NA,Agadir,Morocco,FALSE,24.733333333333334,64.6,1,1
2017-06-01,Friendly,Iraq,Jordan,1,W,1,0,3,NA,Basra,Iraq,FALSE,24.11764705882353,58.23529411764706,1,0
2017-06-01,Friendly,Jordan,Iraq,-1,L,0,1,0,NA,Basra,Iraq,FALSE,26.2,60.66666666666667,1,0
2017-06-01,Friendly,Nigeria,Togo,0,W,3,0,3,NA,Saint-Leu-la-Forêt,France,TRUE,21.85,49.5,0,0
2017-06-01,Friendly,Togo,Nigeria,0,L,0,3,0,NA,Saint-Leu-la-Forêt,France,TRUE,23.176470588235293,58.23529411764706,2,0
2017-06-01,Friendly,Switzerland,Belarus,1,W,1,0,3,NA,Neuchâtel,Switzerland,FALSE,25.764705882352942,58.23529411764706,1,0
2017-06-01,Friendly,Belarus,Switzerland,-1,L,0,1,0,NA,Neuchâtel,Switzerland,FALSE,26.294117647058822,58.23529411764706,2,0
2017-06-02,Friendly,Chile,Burkina Faso,1,W,3,0,3,NA,Santiago,Chile,FALSE,27.058823529411764,58.23529411764706,0,0
2017-06-02,Friendly,Burkina Faso,Chile,-1,L,0,3,0,NA,Santiago,Chile,FALSE,22.8,62.93333333333333,2,1
2017-06-02,Friendly,France,Paraguay,1,W,5,0,3,NA,Rennes,France,FALSE,25.705882352941178,58.23529411764706,0,0
2017-06-02,Friendly,Paraguay,France,-1,L,0,5,0,NA,Rennes,France,FALSE,25.176470588235293,58.23529411764706,0,0
2017-06-02,Friendly,Nicaragua,Bolivia,1,L,0,1,0,NA,Managua,Nicaragua,FALSE,25.6875,61.875,0,0
2017-06-02,Friendly,Bolivia,Nicaragua,-1,W,1,0,3,NA,Managua,Nicaragua,FALSE,23.846153846153847,76.15384615384616,1,0
2017-06-02,Friendly,Northern Ireland,New Zealand,1,W,1,0,3,NA,Belfast,Northern Ireland,FALSE,28.705882352941178,58.23529411764706,0,0
2017-06-02,Friendly,New Zealand,Northern Ireland,-1,L,0,1,0,NA,Belfast,Northern Ireland,FALSE,25.625,61.875,1,0
2017-06-02,Friendly,Oman,Syria,1,D,1,1,1,NA,Muscat,Oman,FALSE,24.88235294117647,58.23529411764706,2,0
2017-06-02,Friendly,Syria,Oman,-1,D,1,1,1,NA,Muscat,Oman,FALSE,26.0625,61.875,1,0
2017-06-03,Friendly,Ethiopia,Uganda,1,D,0,0,1,NA,Hawassa,Ethiopia,FALSE,22.869565217391305,43.04347826086956,0,0
2017-06-03,Friendly,Uganda,Ethiopia,-1,D,0,0,1,NA,Hawassa,Ethiopia,FALSE,23.454545454545453,90,0,0
2006-06-12,FIFA World Cup,Australia,Japan,0,W,3,1,3,NA,Kaiserslautern,Germany,TRUE,27.5,70.71428571428571,4,0
2006-06-12,FIFA World Cup,Japan,Australia,0,L,1,3,0,NA,Kaiserslautern,Germany,TRUE,27.285714285714285,70.71428571428571,3,0
2017-06-03,Friendly,Portugal,Cyprus,1,W,4,0,3,NA,Estoril,Portugal,FALSE,26.41176470588235,58.23529411764706,0,0
2017-06-03,Friendly,Cyprus,Portugal,-1,L,0,4,0,NA,Estoril,Portugal,FALSE,26.294117647058822,58.23529411764706,0,0
2017-06-03,Friendly,United States,Venezuela,1,D,1,1,1,NA,Sandy,United States,FALSE,27.058823529411764,58.23529411764706,0,0
2017-06-03,Friendly,Venezuela,United States,-1,D,1,1,1,NA,Sandy,United States,FALSE,23.764705882352942,58.23529411764706,0,0
2017-06-04,Friendly,Luxembourg,Albania,1,W,2,1,3,NA,Luxembourg,Luxembourg,FALSE,22.941176470588236,58.23529411764705,1,0
2017-06-04,Friendly,Albania,Luxembourg,-1,L,1,2,0,NA,Luxembourg,Luxembourg,FALSE,25.9375,61.875,0,0
2017-06-04,Friendly,Togo,Comoros,0,W,2,0,3,NA,Marseille,France,TRUE,23.466666666666665,66,2,0
2017-06-04,Friendly,Comoros,Togo,0,L,0,2,0,NA,Marseille,France,TRUE,27.4375,61.875,0,0
2017-06-05,Friendly,Belgium,Czech Republic,1,W,2,1,3,NA,Brussels,Belgium,FALSE,26.5625,61.875,0,0
2017-06-05,Friendly,Czech Republic,Belgium,-1,L,1,2,0,NA,Brussels,Belgium,FALSE,25.235294117647058,58.23529411764706,1,0
2017-06-05,Friendly,Egypt,Libya,1,W,1,0,3,NA,New Cairo,Egypt,FALSE,25.736842105263158,52.10526315789474,2,0
2017-06-05,Friendly,Libya,Egypt,-1,L,0,1,0,NA,New Cairo,Egypt,FALSE,25.142857142857142,47.142857142857146,1,0
2017-06-05,Friendly,Hungary,Russia,1,L,0,3,0,NA,Budapest,Hungary,FALSE,23.88235294117647,58.23529411764706,2,0
