date,tournament,team,opponent,location,result,score,opp_score,points,xg,city,country,neutral,age,min,crdY,crdR
2021-11-11,FIFA World Cup qualification,Germany,Liechtenstein,1,W,9,0,3,NA,Wolfsburg,Germany,FALSE,27.6875,61.875,1,0
2021-11-11,FIFA World Cup qualification,Liechtenstein,Germany,-1,L,0,9,0,NA,Wolfsburg,Germany,FALSE,26.4375,56.75,0,1
2021-11-11,FIFA World Cup qualification,Romania,Iceland,1,D,0,0,1,NA,Bucharest,Romania,FALSE,26.8125,61.875,1,0
2021-11-11,FIFA World Cup qualification,Iceland,Romania,-1,D,0,0,1,NA,Bucharest,Romania,FALSE,23.9375,61.875,1,0
2021-11-11,FIFA World Cup qualification,Ecuador,Venezuela,1,W,1,0,3,NA,Quito,Ecuador,FALSE,24.375,61.875,1,0
2021-11-11,FIFA World Cup qualification,Venezuela,Ecuador,-1,L,0,1,0,NA,Quito,Ecuador,FALSE,26.6875,61.875,3,0
2014-03-05,Friendly,Ukraine,United States,0,W,2,0,3,NA,Larnaca,Cyprus,TRUE,27.823529411764707,58.23529411764705,2,0
2014-03-05,Friendly,United States,Ukraine,0,L,0,2,0,NA,Larnaca,Cyprus,TRUE,26.375,61.875,1,0
2021-11-11,FIFA World Cup qualification,Paraguay,Chile,1,L,0,1,0,NA,Asunción,Paraguay,FALSE,26.8125,61.875,2,0
2021-11-11,FIFA World Cup qualification,Chile,Paraguay,-1,W,1,0,3,NA,Asunción,Paraguay,FALSE,28.333333333333332,66,3,0
2021-11-11,FIFA World Cup qualification,Peru,Bolivia,1,W,3,0,3,NA,Lima,Peru,FALSE,29.75,61.875,2,0
2021-11-11,FIFA World Cup qualification,Bolivia,Peru,-1,L,0,3,0,NA,Lima,Peru,FALSE,27.25,61.875,1,0
2021-11-11,FIFA World Cup qualification,Brazil,Colombia,1,W,1,0,3,NA,São Paulo,Brazil,FALSE,26.866666666666667,66,4,0
2021-11-11,FIFA World Cup qualification,Colombia,Brazil,-1,L,0,1,0,NA,São Paulo,Brazil,FALSE,28.4375,61.875,3,0
2021-11-12,FIFA World Cup qualification,Burkina Faso,Niger,0,D,1,1,1,NA,Marrakech,Morocco,TRUE,25.357142857142858,70.71428571428572,1,0
2021-11-12,FIFA World Cup qualification,Niger,Burkina Faso,0,D,1,1,1,NA,Marrakech,Morocco,TRUE,24.4,66,2,0
2021-11-12,FIFA World Cup qualification,Djibouti,Algeria,0,L,0,4,0,NA,Cairo,Egypt,TRUE,24.642857142857142,70.71428571428571,2,0
2021-11-12,FIFA World Cup qualification,Algeria,Djibouti,0,W,4,0,3,NA,Cairo,Egypt,TRUE,28.25,61.875,1,0
2021-11-12,FIFA World Cup qualification,Gabon,Libya,1,W,1,0,3,NA,Franceville,Gabon,FALSE,26.5625,61.875,2,0
2021-11-12,FIFA World Cup qualification,Libya,Gabon,-1,L,0,1,0,NA,Franceville,Gabon,FALSE,26.875,61.875,3,0
2021-11-12,FIFA World Cup qualification,Angola,Egypt,1,D,2,2,1,NA,Luanda,Angola,FALSE,25.866666666666667,66,1,0
2021-11-12,FIFA World Cup qualification,Egypt,Angola,-1,D,2,2,1,NA,Luanda,Angola,FALSE,27.733333333333334,66,2,0
2021-11-12,FIFA World Cup qualification,Guinea,Guinea-Bissau,1,D,0,0,1,NA,Conakry,Guinea,FALSE,26,66,1,0
2021-11-12,FIFA World Cup qualification,Guinea-Bissau,Guinea,-1,D,0,0,1,NA,Conakry,Guinea,FALSE,27.1875,61.875,0,0
2021-11-12,FIFA World Cup qualification,Northern Ireland,Lithuania,1,W,1,0,3,NA,Belfast,Northern Ireland,FALSE,27.933333333333334,66,0,0
2021-11-12,FIFA World Cup qualification,Lithuania,Northern Ireland,-1,L,0,1,0,NA,Belfast,Northern Ireland,FALSE,27.333333333333332,66,1,0
