date,tournament,team,opponent,location,result,score,opp_score,pred_score,pred_opp_score,D,L,W,is_draw,is_win,is_loss
2022-11-25,FIFA World Cup,Senegal,Qatar,-1,W,3,1,1.1583326412914716,1.1918604114107496,0.3004298,0.3576936,0.3418766,0,1,0
2022-11-25,FIFA World Cup,Ecuador,Netherlands,0,D,1,1,1.141301149615697,1.6584456753523833,0.2634585,0.4795114,0.2570301,1,0,0
2022-11-25,FIFA World Cup,Iran,Wales,0,W,2,0,1.2553541610713408,0.7434710253835868,0.3155097,0.2142601,0.4702303,0,1,0
2022-11-25,FIFA World Cup,United States,England,0,D,0,0,1.1506274927961049,1.4515501782556965,0.2803727,0.4273033,0.2923240,1,0,0
2022-11-26,FIFA World Cup,Poland,Saudi Arabia,0,W,2,0,1.3915602178882311,1.0732917623826022,0.2882864,0.2826800,0.4290336,0,1,0
2022-11-26,FIFA World Cup,Argentina,Mexico,0,W,2,0,1.5201422240885059,1.0069596068241924,0.2778477,0.2451572,0.4769951,0,1,0
2022-11-26,FIFA World Cup,Tunisia,Australia,0,L,0,1,1.1131958153960615,1.3851276572159184,0.2873086,0.4185472,0.2941442,0,0,1
2022-11-26,FIFA World Cup,France,Denmark,0,W,2,1,1.4656940157556058,1.190647259135507,0.2778663,0.2999500,0.4221837,0,1,0
2022-11-26,FIFA World Cup,Saudi Arabia,Poland,0,L,0,2,1.073283513025744,1.3915349538917754,0.2882890,0.4290289,0.2826821,0,0,1
2022-11-26,FIFA World Cup,Mexico,Argentina,0,L,0,2,1.0069650831388994,1.5201205379864184,0.2778498,0.4769884,0.2451618,0,0,1
2022-11-26,FIFA World Cup,Australia,Tunisia,0,W,1,0,1.3851444517114215,1.1131807361228998,0.2873077,0.2941374,0.4185549,0,1,0
2022-11-26,FIFA World Cup,Denmark,France,0,L,1,2,1.190670176440936,1.465677918511104,0.2778667,0.4221748,0.2999585,0,0,1
2022-11-27,FIFA World Cup,Japan,Costa Rica,0,L,0,1,1.3972044140643347,1.0348134565777323,0.2891245,0.2717029,0.4391726,0,0,1
2022-11-27,FIFA World Cup,Spain,Germany,0,D,1,1,1.7778623809467686,1.556944245569337,0.2483165,0.3321891,0.4194944,1,0,0
2022-11-27,FIFA World Cup,Belgium,Morocco,0,L,0,2,1.6490594316415832,1.2433164742443834,0.2626785,0.2824778,0.4548437,0,0,1
