date,home_team,away_team,home_score,away_score,tournament,city,country,neutral,home_result,home_points,away_result,away_points,home_xg,away_xg,age_home,age_away,min_home,min_away,crdY_home,crdY_away,crdR_home,crdR_away,MatchURL
1998-06-15,Germany,United States,2,0,FIFA World Cup,Paris,France,TRUE,W,3,L,0,NA,NA,29.214285714285715,28.071428571428573,70.71428571428571,70.71428571428571,3,2,0,0,https://fbref.com/en/matches/250eeb12/Germany-United-States-June-15-1998-World-Cup
1998-06-15,Romania,Colombia,1,0,FIFA World Cup,Lyon,France,TRUE,W,3,L,0,NA,NA,26.785714285714285,28.153846153846153,70.71428571428571,76.15384615384616,3,1,0,0,https://fbref.com/en/matches/893f108f/Romania-Colombia-June-15-1998-World-Cup
1998-06-16,Brazil,Morocco,3,0,FIFA World Cup,Nantes,France,TRUE,W,3,L,0,NA,NA,27.928571428571427,25.857142857142858,70.71428571428571,70.71428571428571,2,2,0,0,https://fbref.com/en/matches/22a4de7b/Brazil-Morocco-June-16-1998-World-Cup
1998-06-17,Chile,Austria,1,1,FIFA World Cup,Saint-Étienne,France,TRUE,D,1,D,1,NA,NA,26.846153846153847,29,76.15384615384616,70.71428571428571,4,1,0,0,https://fbref.com/en/matches/0b5d6eb8/Chile-Austria-June-17-1998-World-Cup
1998-06-17,Italy,Cameroon,3,0,FIFA World Cup,Montpellier,France,TRUE,W,3,L,0,NA,NA,27.357142857142858,23.5,70.71428571428571,67.21428571428571,2,4,0,1,https://fbref.com/en/matches/45d851c9/Italy-Cameroon-June-17-1998-World-Cup
1998-06-18,France,Saudi Arabia,4,0,FIFA World Cup,Saint-Denis,France,FALSE,W,3,L,0,NA,NA,26.142857142857142,24.714285714285715,69.28571428571429,65.57142857142857,2,2,1,1,https://fbref.com/en/matches/39218bdd/France-Saudi-Arabia-June-18-1998-World-Cup
1998-06-18,South Africa,Denmark,1,1,FIFA World Cup,Toulouse,France,TRUE,D,1,D,1,NA,NA,25.357142857142858,28.857142857142858,69.07142857142857,68.5,4,3,1,2,https://fbref.com/en/matches/53fbc502/South-Africa-Denmark-June-18-1998-World-Cup
1998-06-19,Nigeria,Bulgaria,1,0,FIFA World Cup,Paris,France,TRUE,W,3,L,0,NA,NA,25.785714285714285,28,70.71428571428571,70.71428571428571,4,2,0,0,https://fbref.com/en/matches/377bcedd/Nigeria-Bulgaria-June-19-1998-World-Cup
1998-06-19,Spain,Paraguay,0,0,FIFA World Cup,Saint-Étienne,France,TRUE,D,1,D,1,NA,NA,26.857142857142858,25.571428571428573,70.71428571428571,70.71428571428571,2,2,0,0,https://fbref.com/en/matches/7b89eab1/Spain-Paraguay-June-19-1998-World-Cup
1998-06-20,Belgium,Mexico,2,2,FIFA World Cup,Bordeaux,France,TRUE,D,1,D,1,NA,NA,29.785714285714285,26.642857142857142,68.07142857142857,66.21428571428572,1,2,1,1,https://fbref.com/en/matches/ab6ac92c/Belgium-Mexico-June-20-1998-World-Cup
1998-06-20,Japan,Croatia,0,1,FIFA World Cup,Nantes,France,TRUE,L,0,W,3,NA,NA,25.928571428571427,27.714285714285715,70.71428571428572,70.71428571428572,3,2,0,0,https://fbref.com/en/matches/5ef6cf18/Japan-Croatia-June-20-1998-World-Cup
1998-06-21,Argentina,Jamaica,5,0,FIFA World Cup,Paris,France,TRUE,W,3,L,0,NA,NA,27.357142857142858,26.214285714285715,70.71428571428571,67.42857142857143,1,3,0,1,https://fbref.com/en/matches/5db3288a/Argentina-Jamaica-June-21-1998-World-Cup
1998-06-22,Colombia,Tunisia,1,0,FIFA World Cup,Montpellier,France,TRUE,W,3,L,0,NA,NA,28.285714285714285,25.785714285714285,70.71428571428571,70.71428571428572,1,2,0,0,https://fbref.com/en/matches/9edafbd9/Colombia-Tunisia-June-22-1998-World-Cup
1998-06-22,Romania,England,2,1,FIFA World Cup,Toulouse,France,TRUE,W,3,L,0,NA,NA,27.571428571428573,26.76923076923077,70.71428571428571,76.15384615384616,4,0,0,0,https://fbref.com/en/matches/29054ef7/Romania-England-June-22-1998-World-Cup
1998-06-23,Brazil,Norway,1,2,FIFA World Cup,Marseille,France,TRUE,L,0,W,3,NA,NA,28,28.071428571428573,90,70.71428571428571,0,2,0,0,https://fbref.com/en/matches/7e95d63b/Brazil-Norway-June-23-1998-World-Cup
1998-06-23,Chile,Cameroon,1,1,FIFA World Cup,Nantes,France,TRUE,D,1,D,1,NA,NA,27,23.928571428571427,70.71428571428571,67.64285714285714,4,1,0,2,https://fbref.com/en/matches/5063e7bd/Chile-Cameroon-June-23-1998-World-Cup
1998-06-23,Italy,Austria,2,1,FIFA World Cup,Saint-Denis,France,TRUE,W,3,L,0,NA,NA,27.357142857142858,29.857142857142858,70.71428571428571,70.71428571428571,1,4,0,0,https://fbref.com/en/matches/11005363/Italy-Austria-June-23-1998-World-Cup
1998-06-23,Scotland,Morocco,0,3,FIFA World Cup,Saint-Étienne,France,TRUE,L,0,W,3,NA,NA,29.615384615384617,26.571428571428573,73.23076923076923,70.71428571428571,1,1,1,0,https://fbref.com/en/matches/2192915c/Scotland-Morocco-June-23-1998-World-Cup
1998-06-24,France,Denmark,2,1,FIFA World Cup,Lyon,France,FALSE,W,3,L,0,NA,NA,25.5,28.857142857142858,70.71428571428572,70.71428571428571,2,2,0,0,https://fbref.com/en/matches/e10b0f72/France-Denmark-June-24-1998-World-Cup
1998-06-24,Nigeria,Paraguay,1,3,FIFA World Cup,Toulouse,France,TRUE,L,0,W,3,NA,NA,26.692307692307693,26.142857142857142,76.15384615384616,70.71428571428571,2,0,0,0,https://fbref.com/en/matches/ad0f3818/Nigeria-Paraguay-June-24-1998-World-Cup
1998-06-24,Spain,Bulgaria,6,1,FIFA World Cup,Lens,France,TRUE,W,3,L,0,NA,NA,26.857142857142858,28.285714285714285,70.71428571428571,70.71428571428571,2,2,0,0,https://fbref.com/en/matches/2930a7b5/Spain-Bulgaria-June-24-1998-World-Cup
1998-06-25,Netherlands,Mexico,2,2,FIFA World Cup,Saint-Étienne,France,TRUE,D,1,D,1,NA,NA,27.285714285714285,26.76923076923077,70.71428571428572,76,2,4,0,1,https://fbref.com/en/matches/d00a74ad/Netherlands-Mexico-June-25-1998-World-Cup
1998-06-26,Argentina,Croatia,1,0,FIFA World Cup,Bordeaux,France,TRUE,W,3,L,0,NA,NA,26.928571428571427,28.384615384615383,70.71428571428571,76.15384615384616,3,4,0,0,https://fbref.com/en/matches/073c4f60/Argentina-Croatia-June-26-1998-World-Cup
1998-06-26,Colombia,England,0,2,FIFA World Cup,Lens,France,TRUE,L,0,W,3,NA,NA,28.5,26.714285714285715,70.71428571428571,70.71428571428571,3,2,0,0,https://fbref.com/en/matches/61fb392d/Colombia-England-June-26-1998-World-Cup
1998-06-26,Japan,Jamaica,1,2,FIFA World Cup,Lyon,France,TRUE,L,0,W,3,NA,NA,25.5,25.5,70.71428571428572,70.71428571428571,1,2,0,0,https://fbref.com/en/matches/142355f3/Japan-Jamaica-June-26-1998-World-Cup
1998-06-27,Brazil,Chile,4,1,FIFA World Cup,Paris,France,TRUE,W,3,L,0,NA,NA,28.46153846153846,27.285714285714285,76.15384615384616,70.71428571428571,2,2,0,0,https://fbref.com/en/matches/5704c753/Brazil-Chile-June-27-1998-World-Cup
1998-06-27,Italy,Norway,1,0,FIFA World Cup,Marseille,France,TRUE,W,3,L,0,NA,NA,27.928571428571427,27.857142857142858,70.71428571428571,70.71428571428571,3,3,0,0,https://fbref.com/en/matches/221b0699/Italy-Norway-June-27-1998-World-Cup
1998-06-28,France,Paraguay,1,0,FIFA World Cup,Lens,France,FALSE,W,3,L,0,NA,NA,26.428571428571427,26,94.28571428571429,94.28571428571429,0,5,0,0,https://fbref.com/en/matches/03acd5a5/France-Paraguay-June-28-1998-World-Cup
1998-06-28,Nigeria,Denmark,1,4,FIFA World Cup,Saint-Denis,France,TRUE,L,0,W,3,NA,NA,25.846153846153847,28.692307692307693,76.15384615384616,76.15384615384616,1,1,0,0,https://fbref.com/en/matches/9acfdd13/Nigeria-Denmark-June-28-1998-World-Cup
1998-06-29,Germany,Mexico,2,1,FIFA World Cup,Montpellier,France,TRUE,W,3,L,0,NA,NA,30,27.214285714285715,70.71428571428571,70.71428571428571,4,2,0,0,https://fbref.com/en/matches/e1cf15cf/Germany-Mexico-June-29-1998-World-Cup
1998-06-30,Argentina,England,2,2,FIFA World Cup,Saint-Étienne,France,TRUE,D,1,D,1,NA,NA,27.214285714285715,26.642857142857142,94.28571428571428,89,4,2,0,1,https://fbref.com/en/matches/e7fe08e7/Argentina-England-June-30-1998-World-Cup
1998-07-03,Brazil,Denmark,3,2,FIFA World Cup,Nantes,France,TRUE,W,3,L,0,NA,NA,27.357142857142858,28.857142857142858,70.71428571428571,70.71428571428572,3,3,0,0,https://fbref.com/en/matches/a019076f/Brazil-Denmark-July-3-1998-World-Cup
1998-07-04,Germany,Croatia,0,3,FIFA World Cup,Lyon,France,TRUE,L,0,W,3,NA,NA,30.307692307692307,28.333333333333332,72.23076923076923,82.5,2,2,1,0,https://fbref.com/en/matches/19b7b32e/Germany-Croatia-July-4-1998-World-Cup
1998-07-04,Netherlands,Argentina,2,1,FIFA World Cup,Marseille,France,TRUE,W,3,L,0,NA,NA,26.666666666666668,28.076923076923077,81.25,75.84615384615384,3,4,1,1,https://fbref.com/en/matches/aa1bb817/Netherlands-Argentina-July-4-1998-World-Cup
1998-07-07,Brazil,Netherlands,1,1,FIFA World Cup,Marseille,France,TRUE,D,1,D,1,NA,NA,28.307692307692307,26.357142857142858,101.53846153846153,94.28571428571429,2,4,0,0,https://fbref.com/en/matches/e1ac3cbb/Brazil-Netherlands-July-7-1998-World-Cup
1998-07-08,France,Croatia,2,1,FIFA World Cup,Saint-Denis,France,FALSE,W,3,L,0,NA,NA,27,28.384615384615383,69.64285714285714,76.15384615384616,0,3,1,0,https://fbref.com/en/matches/169a83e4/France-Croatia-July-8-1998-World-Cup
1998-07-11,Netherlands,Croatia,1,2,FIFA World Cup,Paris,France,TRUE,L,0,W,3,NA,NA,26,28.615384615384617,76.15384615384616,76.15384615384616,2,4,0,0,https://fbref.com/en/matches/c52d688b/Netherlands-Croatia-July-11-1998-World-Cup
2002-05-31,France,Senegal,0,1,FIFA World Cup,Seoul,South Korea,TRUE,L,0,W,3,NA,NA,28.846153846153847,25.363636363636363,76.15384615384616,90,1,1,0,0,https://fbref.com/en/matches/df429f29/France-Senegal-May-31-2002-World-Cup
2002-06-01,Germany,Saudi Arabia,8,0,FIFA World Cup,Sapporo,Japan,TRUE,W,3,L,0,NA,NA,27.857142857142858,26.642857142857142,70.71428571428572,70.71428571428572,2,1,0,0,https://fbref.com/en/matches/8044bc39/Germany-Saudi-Arabia-June-1-2002-World-Cup
2002-06-01,Uruguay,Denmark,1,2,FIFA World Cup,Ulsan,South Korea,TRUE,L,0,W,3,NA,NA,25.928571428571427,27.357142857142858,70.71428571428571,70.71428571428572,1,2,0,0,https://fbref.com/en/matches/43a72224/Uruguay-Denmark-June-1-2002-World-Cup
2002-06-02,Argentina,Nigeria,1,0,FIFA World Cup,Kashima,Japan,TRUE,W,3,L,0,NA,NA,27.357142857142858,24.46153846153846,70.71428571428572,76.15384615384616,2,1,0,0,https://fbref.com/en/matches/0a576ae4/Argentina-Nigeria-June-2-2002-World-Cup
2002-06-02,England,Sweden,1,1,FIFA World Cup,Saitama,Japan,TRUE,D,1,D,1,NA,NA,25.23076923076923,28,76.15384615384616,76.15384615384616,1,2,0,0,https://fbref.com/en/matches/5c194a68/England-Sweden-June-2-2002-World-Cup
2002-06-02,Paraguay,South Africa,2,2,FIFA World Cup,Busan,South Korea,TRUE,D,1,D,1,NA,NA,28.142857142857142,26.666666666666668,70.71428571428572,77.16666666666667,4,4,0,0,https://fbref.com/en/matches/de22bef8/Paraguay-South-Africa-June-2-2002-World-Cup
2002-06-02,Spain,Slovenia,3,1,FIFA World Cup,Gwangju,South Korea,TRUE,W,3,L,0,NA,NA,27.428571428571427,29.642857142857142,70.71428571428571,70.71428571428572,1,2,0,0,https://fbref.com/en/matches/af8028a6/Spain-Slovenia-June-2-2002-World-Cup
2002-06-03,Croatia,Mexico,0,1,FIFA World Cup,Niigata,Japan,TRUE,L,0,W,3,NA,NA,29.285714285714285,28.153846153846153,68.42857142857143,76.15384615384616,0,0,1,0,https://fbref.com/en/matches/6f03df0c/Croatia-Mexico-June-3-2002-World-Cup
2002-06-03,Italy,Ecuador,2,0,FIFA World Cup,Sapporo,Japan,TRUE,W,3,L,0,NA,NA,28,27.642857142857142,70.71428571428572,70.71428571428572,1,3,0,0,https://fbref.com/en/matches/51b415c5/Italy-Ecuador-June-3-2002-World-Cup
2002-06-04,Japan,Belgium,2,2,FIFA World Cup,Saitama,Japan,FALSE,D,1,D,1,NA,NA,24.5,29.384615384615383,70.71428571428572,81.3076923076923,2,3,0,0,https://fbref.com/en/matches/7ad7f59c/Japan-Belgium-June-4-2002-World-Cup
2002-06-05,Russia,Tunisia,2,0,FIFA World Cup,Kobe,Japan,TRUE,W,3,L,0,NA,NA,26.5,27.214285714285715,70.71428571428571,70.71428571428572,2,2,0,0,https://fbref.com/en/matches/c620feb2/Russia-Tunisia-June-5-2002-World-Cup
2002-06-05,United States,Portugal,3,2,FIFA World Cup,Suwon,South Korea,TRUE,W,3,L,0,NA,NA,28.285714285714285,28.571428571428573,70.71428571428572,70.71428571428571,1,2,0,0,https://fbref.com/en/matches/d47d104c/United-States-Portugal-June-5-2002-World-Cup
2002-06-06,Cameroon,Saudi Arabia,1,0,FIFA World Cup,Saitama,Japan,TRUE,W,3,L,0,NA,NA,25.357142857142858,26.142857142857142,70.71428571428571,70.71428571428572,1,1,0,0,https://fbref.com/en/matches/421f5e66/Cameroon-Saudi-Arabia-June-6-2002-World-Cup
2002-06-06,Denmark,Senegal,1,1,FIFA World Cup,Daegu,South Korea,TRUE,D,1,D,1,NA,NA,27,24.642857142857142,70.71428571428572,69.92857142857143,4,3,0,1,https://fbref.com/en/matches/90a0d102/Denmark-Senegal-June-6-2002-World-Cup
2002-06-06,France,Uruguay,0,0,FIFA World Cup,Busan,South Korea,TRUE,D,1,D,1,NA,NA,28.357142857142858,25.428571428571427,66,70.71428571428572,1,4,1,0,https://fbref.com/en/matches/a956e5ba/France-Uruguay-June-6-2002-World-Cup
2002-06-07,Argentina,England,0,1,FIFA World Cup,Sapporo,Japan,TRUE,L,0,W,3,NA,NA,27.357142857142858,26.285714285714285,70.71428571428571,70.71428571428571,1,2,0,0,https://fbref.com/en/matches/8adcbcc1/Argentina-England-June-7-2002-World-Cup
2002-06-07,Spain,Paraguay,3,1,FIFA World Cup,Jeonju,South Korea,TRUE,W,3,L,0,NA,NA,26.857142857142858,28.46153846153846,70.71428571428571,76.15384615384616,1,3,0,0,https://fbref.com/en/matches/ab37d345/Spain-Paraguay-June-7-2002-World-Cup
2002-06-07,Sweden,Nigeria,2,1,FIFA World Cup,Kobe,Japan,TRUE,W,3,L,0,NA,NA,28,23.23076923076923,76.15384615384616,76.15384615384616,2,1,0,0,https://fbref.com/en/matches/e86bf380/Sweden-Nigeria-June-7-2002-World-Cup
2002-06-08,Brazil,China PR,4,0,FIFA World Cup,Seogwipo,South Korea,TRUE,W,3,L,0,NA,NA,26.642857142857142,25.357142857142858,70.71428571428571,70.71428571428571,2,0,0,0,https://fbref.com/en/matches/f94b26f9/Brazil-China-PR-June-8-2002-World-Cup
2002-06-08,Italy,Croatia,1,2,FIFA World Cup,Kashima,Japan,TRUE,L,0,W,3,NA,NA,27.384615384615383,27.428571428571427,76.15384615384616,70.71428571428572,1,1,0,0,https://fbref.com/en/matches/590f904a/Italy-Croatia-June-8-2002-World-Cup
2002-06-08,South Africa,Slovenia,1,0,FIFA World Cup,Daegu,South Korea,TRUE,W,3,L,0,NA,NA,25.928571428571427,28.428571428571427,70.71428571428572,70.71428571428571,2,4,0,0,https://fbref.com/en/matches/6fb9a6d3/South-Africa-Slovenia-June-8-2002-World-Cup
2002-06-09,Japan,Russia,1,0,FIFA World Cup,Yokohama,Japan,FALSE,W,3,L,0,NA,NA,25.214285714285715,26.357142857142858,70.71428571428571,70.71428571428571,3,3,0,0,https://fbref.com/en/matches/dabad308/Japan-Russia-June-9-2002-World-Cup
2002-06-09,Mexico,Ecuador,2,1,FIFA World Cup,Rifu,Japan,TRUE,W,3,L,0,NA,NA,28,27.428571428571427,70.71428571428571,70.71428571428571,1,5,0,0,https://fbref.com/en/matches/8e33c7e6/Mexico-Ecuador-June-9-2002-World-Cup
2002-06-10,Portugal,Poland,4,0,FIFA World Cup,Jeonju,South Korea,TRUE,W,3,L,0,NA,NA,28.928571428571427,27.642857142857142,70.71428571428572,70.71428571428571,3,2,0,0,https://fbref.com/en/matches/86046b06/Portugal-Poland-June-10-2002-World-Cup
2002-06-10,Tunisia,Belgium,1,1,FIFA World Cup,Ōita,Japan,TRUE,D,1,D,1,NA,NA,27.214285714285715,28.285714285714285,70.71428571428571,70.71428571428571,4,1,0,0,https://fbref.com/en/matches/6fafd52d/Tunisia-Belgium-June-10-2002-World-Cup
2002-06-11,Cameroon,Germany,0,2,FIFA World Cup,Fukuroi,Japan,TRUE,L,0,W,3,NA,NA,25,27.785714285714285,69.71428571428571,67.07142857142857,8,8,1,1,https://fbref.com/en/matches/90a3d157/Cameroon-Germany-June-11-2002-World-Cup
2002-06-11,Denmark,France,2,0,FIFA World Cup,Incheon,South Korea,TRUE,W,3,L,0,NA,NA,26.428571428571427,28.571428571428573,70.71428571428572,70.71428571428571,2,1,0,0,https://fbref.com/en/matches/3e38459d/Denmark-France-June-11-2002-World-Cup
2002-06-11,Senegal,Uruguay,3,3,FIFA World Cup,Suwon,South Korea,TRUE,D,1,D,1,NA,NA,24.857142857142858,25.142857142857142,70.71428571428571,70.71428571428572,7,5,0,0,https://fbref.com/en/matches/65ee97d1/Senegal-Uruguay-June-11-2002-World-Cup
2002-06-12,Nigeria,England,0,0,FIFA World Cup,Osaka,Japan,TRUE,D,1,D,1,NA,NA,22.5,26.692307692307693,82.5,76.15384615384616,0,0,0,0,https://fbref.com/en/matches/3ee5e957/Nigeria-England-June-12-2002-World-Cup
2002-06-13,Ecuador,Croatia,1,0,FIFA World Cup,Yokohama,Japan,TRUE,W,3,L,0,NA,NA,27.615384615384617,27.142857142857142,76.15384615384616,70.71428571428571,1,2,0,0,https://fbref.com/en/matches/bde6cf4d/Ecuador-Croatia-June-13-2002-World-Cup
2002-06-13,Mexico,Italy,1,1,FIFA World Cup,Ōita,Japan,TRUE,D,1,D,1,NA,NA,27.285714285714285,27,70.71428571428571,70.71428571428572,2,5,0,0,https://fbref.com/en/matches/80e007cf/Mexico-Italy-June-13-2002-World-Cup
2002-06-14,Belgium,Russia,3,2,FIFA World Cup,Fukuroi,Japan,TRUE,W,3,L,0,NA,NA,29.214285714285715,27.071428571428573,70.71428571428571,70.71428571428571,1,4,0,0,https://fbref.com/en/matches/1074a11b/Belgium-Russia-June-14-2002-World-Cup
2002-06-14,Poland,United States,3,1,FIFA World Cup,Daejeon,South Korea,TRUE,W,3,L,0,NA,NA,28.142857142857142,28,70.71428571428571,70.71428571428571,4,1,0,0,https://fbref.com/en/matches/00047557/Poland-United-States-June-14-2002-World-Cup
2002-06-15,Denmark,England,0,3,FIFA World Cup,Niigata,Japan,TRUE,L,0,W,3,NA,NA,26.46153846153846,26.857142857142858,76.15384615384616,70.71428571428572,1,1,0,0,https://fbref.com/en/matches/0f43d38d/Denmark-England-June-15-2002-World-Cup
2002-06-15,Germany,Paraguay,1,0,FIFA World Cup,Seogwipo,South Korea,TRUE,W,3,L,0,NA,NA,27,27.928571428571427,70.71428571428571,70.64285714285714,3,2,0,1,https://fbref.com/en/matches/fae4aa32/Germany-Paraguay-June-15-2002-World-Cup
2002-06-16,Sweden,Senegal,1,2,FIFA World Cup,Ōita,Japan,TRUE,L,0,W,3,NA,NA,27.642857142857142,24.916666666666668,94.28571428571429,110,0,2,0,0,https://fbref.com/en/matches/916eb38b/Sweden-Senegal-June-16-2002-World-Cup
2002-06-17,Brazil,Belgium,2,0,FIFA World Cup,Kobe,Japan,TRUE,W,3,L,0,NA,NA,26.142857142857142,28.75,70.71428571428571,82.5,1,1,0,0,https://fbref.com/en/matches/7914182e/Brazil-Belgium-June-17-2002-World-Cup
2002-06-17,Mexico,United States,0,2,FIFA World Cup,Jeonju,South Korea,TRUE,L,0,W,3,NA,NA,28.285714285714285,28.142857142857142,70.5,70.71428571428571,5,5,1,0,https://fbref.com/en/matches/ff5e0e83/Mexico-United-States-June-17-2002-World-Cup
2002-06-21,England,Brazil,1,2,FIFA World Cup,Fukuroi,Japan,TRUE,L,0,W,3,NA,NA,27.142857142857142,26.583333333333332,70.71428571428572,79.66666666666667,2,0,0,1,https://fbref.com/en/matches/ea66b53e/England-Brazil-June-21-2002-World-Cup
2002-06-21,Germany,United States,1,0,FIFA World Cup,Ulsan,South Korea,TRUE,W,3,L,0,NA,NA,27.928571428571427,27.857142857142858,70.71428571428571,70.71428571428571,2,5,0,0,https://fbref.com/en/matches/60050bd7/Germany-United-States-June-21-2002-World-Cup
2002-06-30,Germany,Brazil,0,2,FIFA World Cup,Yokohama,Japan,TRUE,L,0,W,3,NA,NA,28.214285714285715,26.23076923076923,70.71428571428571,76.15384615384616,1,1,0,0,https://fbref.com/en/matches/ad525eb5/Germany-Brazil-June-30-2002-World-Cup
2004-06-20,Russia,Greece,2,1,UEFA Euro,Faro,Portugal,TRUE,W,3,L,0,NA,NA,25.571428571428573,28.071428571428573,70.71428571428571,70.71428571428571,6,2,0,0,https://fbref.com/en/matches/acadaf23/Russia-Greece-June-20-2004-European-Championship
2005-06-15,Argentina,Tunisia,2,1,Confederations Cup,Cologne,Germany,TRUE,W,3,L,0,NA,NA,24.846153846153847,25.857142857142858,76.15384615384616,70.71428571428571,2,2,0,0,https://fbref.com/en/matches/b9097054/Argentina-Tunisia-June-15-2005-FIFA-Confederations-Cup
2005-06-15,Germany,Australia,4,3,Confederations Cup,Frankfurt am Main,Germany,FALSE,W,3,L,0,NA,NA,25.142857142857142,27.428571428571427,70.71428571428571,70.71428571428572,4,1,0,0,https://fbref.com/en/matches/4737a1cb/Germany-Australia-June-15-2005-FIFA-Confederations-Cup
2005-06-16,Brazil,Greece,3,0,Confederations Cup,Leipzig,Germany,TRUE,W,3,L,0,NA,NA,26.5,27.428571428571427,70.71428571428572,70.71428571428571,1,2,0,0,https://fbref.com/en/matches/c62a1904/Brazil-Greece-June-16-2005-FIFA-Confederations-Cup
2005-06-16,Japan,Mexico,1,2,Confederations Cup,Hanover,Germany,TRUE,L,0,W,3,NA,NA,26.928571428571427,26.357142857142858,70.71428571428572,70.71428571428571,1,0,0,0,https://fbref.com/en/matches/8ea0b44b/Japan-Mexico-June-16-2005-FIFA-Confederations-Cup
2005-06-18,Australia,Argentina,2,4,Confederations Cup,Nuremberg,Germany,TRUE,L,0,W,3,NA,NA,27.857142857142858,25.214285714285715,70.71428571428571,70.71428571428571,4,1,0,0,https://fbref.com/en/matches/6bdad67e/Australia-Argentina-June-18-2005-FIFA-Confederations-Cup
2005-06-19,Greece,Japan,0,1,Confederations Cup,Frankfurt am Main,Germany,TRUE,L,0,W,3,NA,NA,28,26.714285714285715,70.71428571428571,70.71428571428571,1,3,0,0,https://fbref.com/en/matches/b662e7a0/Greece-Japan-June-19-2005-FIFA-Confederations-Cup
2005-06-19,Mexico,Brazil,1,0,Confederations Cup,Hanover,Germany,TRUE,W,3,L,0,NA,NA,26.357142857142858,26.5,70.71428571428571,70.71428571428572,2,1,0,0,https://fbref.com/en/matches/f9adc2f8/Mexico-Brazil-June-19-2005-FIFA-Confederations-Cup
2005-06-21,Australia,Tunisia,0,2,Confederations Cup,Leipzig,Germany,TRUE,L,0,W,3,NA,NA,27.214285714285715,24.5,70.71428571428571,70.71428571428571,4,3,0,0,https://fbref.com/en/matches/b5f41395/Australia-Tunisia-June-21-2005-FIFA-Confederations-Cup
2005-06-22,Greece,Mexico,0,0,Confederations Cup,Frankfurt am Main,Germany,TRUE,D,1,D,1,NA,NA,28.214285714285715,25.714285714285715,70.71428571428572,70.71428571428571,2,2,0,0,https://fbref.com/en/matches/f368032b/Greece-Mexico-June-22-2005-FIFA-Confederations-Cup
2005-06-22,Japan,Brazil,2,2,Confederations Cup,Cologne,Germany,TRUE,D,1,D,1,NA,NA,27,25.928571428571427,70.71428571428571,70.71428571428572,3,2,0,0,https://fbref.com/en/matches/c3d236b3/Japan-Brazil-June-22-2005-FIFA-Confederations-Cup
2005-06-25,Germany,Brazil,2,3,Confederations Cup,Nuremberg,Germany,FALSE,L,0,W,3,NA,NA,25.285714285714285,25.928571428571427,70.71428571428571,70.71428571428572,2,4,0,0,https://fbref.com/en/matches/64f59ac4/Germany-Brazil-June-25-2005-FIFA-Confederations-Cup
