date,home_team,away_team,home_score,away_score,tournament,city,country,neutral,home_result,home_points,away_result,away_points,home_xg,away_xg,age_home,age_away,min_home,min_away,crdY_home,crdY_away,crdR_home,crdR_away,MatchURL
1998-06-10,Morocco,Norway,2,2,FIFA World Cup,Montpellier,France,TRUE,D,1,D,1,NA,NA,25.714285714285715,27.76923076923077,70.71428571428571,76.15384615384616,1,0,0,0,https://fbref.com/en/matches/6a75a587/Morocco-Norway-June-10-1998-World-Cup
1998-06-11,Cameroon,Austria,1,1,FIFA World Cup,Toulouse,France,TRUE,D,1,D,1,NA,NA,23.642857142857142,29.571428571428573,70.71428571428571,70.71428571428571,1,1,0,0,https://fbref.com/en/matches/2ce6b5a5/Cameroon-Austria-June-11-1998-World-Cup
1998-06-11,Italy,Chile,2,2,FIFA World Cup,Bordeaux,France,TRUE,D,1,D,1,NA,NA,27.285714285714285,26.928571428571427,70.71428571428572,70.71428571428571,2,3,0,0,https://fbref.com/en/matches/e8642ad6/Italy-Chile-June-11-1998-World-Cup
1998-06-12,France,South Africa,3,0,FIFA World Cup,Marseille,France,FALSE,W,3,L,0,NA,NA,26.571428571428573,26,70.71428571428571,76.15384615384616,3,1,0,0,https://fbref.com/en/matches/dbbbd794/France-South-Africa-June-12-1998-World-Cup
1998-06-12,Paraguay,Bulgaria,0,0,FIFA World Cup,Montpellier,France,TRUE,D,1,D,1,NA,NA,25.714285714285715,28.923076923076923,70.71428571428571,75.84615384615384,1,4,0,1,https://fbref.com/en/matches/806d2681/Paraguay-Bulgaria-June-12-1998-World-Cup
1998-06-13,Netherlands,Belgium,0,0,FIFA World Cup,Saint-Denis,France,TRUE,D,1,D,1,NA,NA,26.357142857142858,29.46153846153846,70.07142857142857,76.15384615384616,0,2,1,0,https://fbref.com/en/matches/63cb5625/Netherlands-Belgium-June-13-1998-World-Cup
1998-06-13,Spain,Nigeria,2,3,FIFA World Cup,Nantes,France,TRUE,L,0,W,3,NA,NA,26.785714285714285,25.785714285714285,70.71428571428571,70.71428571428571,3,1,0,0,https://fbref.com/en/matches/6f5e2f38/Spain-Nigeria-June-13-1998-World-Cup
1998-06-14,Argentina,Japan,1,0,FIFA World Cup,Toulouse,France,TRUE,W,3,L,0,NA,NA,28.53846153846154,25.692307692307693,76.15384615384616,76.15384615384616,0,3,0,0,https://fbref.com/en/matches/e003e71c/Argentina-Japan-June-14-1998-World-Cup
1998-06-14,Jamaica,Croatia,1,3,FIFA World Cup,Lens,France,TRUE,L,0,W,3,NA,NA,25.571428571428573,28.833333333333332,70.71428571428571,82.5,1,2,0,0,https://fbref.com/en/matches/7671b37f/Jamaica-Croatia-June-14-1998-World-Cup
1998-06-15,England,Tunisia,2,0,FIFA World Cup,Marseille,France,TRUE,W,3,L,0,NA,NA,27.416666666666668,25.785714285714285,82.5,70.71428571428572,1,3,0,0,https://fbref.com/en/matches/8f55d08e/England-Tunisia-June-15-1998-World-Cup
